loan_id, sector, amount, borrowers, country, geo
63, Retail, 250, 1, PK, 31.549722 74.343611
64, Agriculture, 2075, 30, BF, 13 -2
65, Services, 325, 1, CM, 6 12
66, Retail, 150, 1, SL, 8.5 -11.5
67, Food, 175, 1, KE, 1 38
68, Services, 1725, 1, AM, 40 45
69, Agriculture, 2950, 1, AZ, 40.5 47.5
70, Food, 1075, 1, HN, 15 -86.5
71, Food, 1050, 1, KE, 1 38
72, Food, 825, 1, KE, -0.283333 36.066667
73, Food, 2300, 1, AZ, 40.5 47.5
74, Food, 1400, 1, SL, 8.5 -11.5
75, Food, 3000, 1, LB, 33.833333 35.833333
76, Food, 625, 1, TG, 8 1.166667
77, Agriculture, 1050, 1, TJ, 39 71
78, Agriculture, 300, 3, KE, 1 38
79, Retail, 1050, 5, SN, 14 -14
80, Agriculture, 600, 1, KE, 1 38
81, Agriculture, 400, 1, SV, 13.833333 -88.916667
82, Manufacturing, 875, 1, VN, 16.166667 107.833333
83, Services, 200, 1, TJ, 39 71
84, Food, 600, 1, KE, 1 38
85, Agriculture, 5000, 1, US, 39.76 -98.5
86, Food, 150, 1, PH, 13 122
87, Agriculture, 175, 1, PH, 13 122
88, Retail, 250, 1, PH, 13 122
89, Food, 175, 1, PH, 13 122
90, Retail, 150, 1, PH, 13 122
91, Services, 125, 1, PH, 13 122
92, Food, 350, 1, KE, -1.3 36.816667
93, Retail, 350, 1, PH, 13 122
94, Retail, 150, 1, PH, 13 122
95, Retail, 575, 1, PH, 13 122
96, Services, 1000, 1, TL, -8.833333 125.75
97, Retail, 825, 1, ID, -5 120
98, Arts, 225, 1, PH, 13 122
99, Retail, 200, 1, PH, 13 122
100, Personal Use, 1500, 1, KH, 11.55 104.916667
101, Food, 250, 1, SV, 13.833333 -88.916667
102, Food, 200, 1, SV, 13.833333 -88.916667
103, Retail, 1125, 1, PH, 13 122
104, Agriculture, 1275, 1, RW, -2 30
105, Agriculture, 1200, 1, EC, -2 -77.5
106, Agriculture, 1200, 1, EC, -2 -77.5
107, Retail, 3500, 1, GE, 42 43.5
108, Food, 225, 1, LR, 6.5 -9.5
109, Education, 775, 1, CD, 0 25
110, Food, 475, 1, MX, 23 -102
111, Agriculture, 1200, 1, EC, -2 -77.5
112, Retail, 1000, 1, TL, -8.833333 125.75
113, Agriculture, 475, 1, KE, 1 38
114, Food, 250, 1, KE, 1 38
115, Retail, 1200, 1, UG, 2 33
116, Clothing, 600, 1, TL, -8.833333 125.75
117, Clothing, 250, 1, KE, 1 38
118, Clothing, 2650, 3, TZ, -6.8 39.283333
119, Services, 225, 1, CM, 6 12
120, Food, 2075, 30, BF, 13 -2
121, Education, 500, 1, SO, 6 48
122, Clothing, 250, 1, LR, 6.5 -9.5
123, Agriculture, 2300, 8, ID, -5 120
124, Agriculture, 5200, 8, KE, 0.616667 34.766667
125, Food, 250, 1, KE, 1 38
126, Construction, 550, 1, PE, -10 -76
127, Construction, 900, 1, GT, 14.666667 -91.25
128, Construction, 800, 1, SV, 13.833333 -88.916667
129, Agriculture, 3650, 1, UA, 49 32
130, Services, 1300, 1, CO, 4 -72
131, Services, 9575, 1, US, 39.76 -98.5
132, Services, 1000, 1, PS, 31.5 34.466667
133, Agriculture, 800, 1, EC, -2 -77.5
134, Arts, 475, 2, PK, 31.549722 74.343611
135, Agriculture, 3300, 4, SV, 13.676944 -89.279722
136, Food, 2000, 1, IQ, 33 44
137, Agriculture, 525, 1, PH, 13 122
138, Agriculture, 675, 1, PH, 13 122
139, Food, 1250, 1, PY, -22.993333 -57.99638
140, Housing, 4300, 1, GE, 42 43.5
141, Retail, 2400, 1, IQ, 33 44
142, Arts, 1775, 11, IN, 20 77
143, Clothing, 700, 1, SL, 8.5 -11.5
144, Food, 700, 1, SV, 13.833333 -88.916667
145, Arts, 125, 1, PH, 13 122
146, Food, 250, 1, KE, 1 38
147, Agriculture, 1175, 1, KE, 1 38
148, Food, 650, 1, PH, 13 122
149, Food, 2075, 8, TZ, -6.8 39.283333
150, Personal Use, 1500, 1, KH, 13 105
151, Clothing, 775, 1, VN, 16.166667 107.833333
152, Food, 825, 1, VN, 16.166667 107.833333
153, Retail, 475, 1, VN, 16.166667 107.833333
154, Agriculture, 275, 1, PH, 13 122
155, Agriculture, 425, 1, PH, 13 122
156, Clothing, 275, 1, PH, 13 122
157, Retail, 350, 1, PH, 13 122
158, Retail, 375, 1, PH, 13 122
159, Food, 1275, 1, EC, -2 -77.5
160, Food, 1050, 1, CO, 4 -72
161, Services, 475, 1, VN, 16.166667 107.833333
162, Agriculture, 1475, 1, RW, -2 30
163, Personal Use, 1000, 1, KH, 11.55 104.916667
164, Services, 825, 1, ID, -5 120
165, Services, 225, 1, ID, -5 120
166, Services, 1000, 1, ID, -5 120
167, Services, 850, 1, ID, -5 120
168, Clothing, 800, 1, TL, -8.833333 125.75
169, Retail, 600, 1, TL, -8.833333 125.75
170, Services, 1000, 1, TL, -8.833333 125.75
171, Retail, 1000, 1, TL, -8.833333 125.75
172, Retail, 600, 1, TL, -8.833333 125.75
173, Food, 600, 1, TL, -8.833333 125.75
174, Agriculture, 3650, 12, PE, -10 -76
175, Food, 1925, 1, AZ, 40.5 48.333333
176, Retail, 950, 1, PK, 31.549722 74.343611
177, Food, 850, 1, ML, 11.996041 -7.913563
178, Housing, 775, 1, NI, 12.083333 -85.166667
179, Clothing, 650, 1, GT, 15.5 -90.25
180, Agriculture, 3650, 15, IN, 20 77
181, Housing, 1375, 1, NI, 12.150833 -86.268333
182, Services, 350, 1, PK, 31.549722 74.343611
183, Agriculture, 400, 1, PH, 13 122
184, Retail, 1600, 1, EC, -2 -77.5
185, Retail, 2125, 4, TZ, -6.8 39.283333
186, Education, 325, 1, CO, 4 -72
187, Retail, 4625, 12, EC, -2 -77.5
188, Retail, 125, 1, PH, 13 122
189, Clothing, 5425, 7, PE, -12.033333 -76.93333
190, Clothing, 3700, 11, PE, -13.518333 -71.97805
191, Retail, 675, 1, PH, 13 122
192, Clothing, 1350, 1, PH, 13 122
193, Retail, 450, 1, PH, 13 122
194, Retail, 1125, 1, PH, 13 122
195, Retail, 1150, 1, PH, 13 122
196, Retail, 575, 1, PH, 13 122
197, Retail, 275, 1, PH, 13 122
198, Retail, 1125, 1, PH, 13 122
199, Retail, 350, 1, PH, 13 122
200, Retail, 650, 1, PH, 13 122
201, Retail, 500, 1, PH, 13 122
202, Agriculture, 4900, 1, UA, 49 32
203, Food, 2575, 1, AZ, 40.5 48.333333
204, Retail, 1800, 4, TZ, -6.8 39.283333
205, Clothing, 1700, 6, SL, 8.5 -11.5
206, Retail, 900, 1, KE, -0.283333 36.066667
207, Retail, 700, 1, NI, 12.616667 -87.15
208, Retail, 1000, 1, UG, 2 33
209, Agriculture, 375, 4, KE, 1 38
210, Education, 1275, 1, PE, -10 -76
211, Retail, 450, 1, PK, 31.549722 74.343611
212, Agriculture, 600, 1, KE, 1 38
213, Retail, 225, 1, PH, 13 122
214, Food, 600, 1, GE, 42 43.5
215, Agriculture, 1850, 1, KG, 41 75
216, Retail, 500, 1, SV, 13.833333 -88.916667
217, Clothing, 650, 1, TG, 8 1.166667
218, Manufacturing, 1050, 1, SL, 8.5 -11.5
219, Agriculture, 6075, 9, KE, 1 38
220, Agriculture, 2950, 1, AZ, 40.5 47.5
221, Agriculture, 2850, 6, HN, 15 -86.5
222, Services, 1400, 1, PK, 30 70
223, Food, 500, 1, SV, 13.833333 -88.916667
224, Food, 3525, 34, SN, 14 -14
225, Retail, 2950, 7, ML, 11.316667 -5.666667
226, Services, 2075, 1, XK, 42.583333 21
227, Food, 3125, 1, MN, 46 105
228, Agriculture, 1175, 1, GE, 42 43.5
229, Transportation, 1750, 1, MN, 46 105
230, Agriculture, 3000, 1, AM, 40 45
231, Agriculture, 3000, 1, AM, 40 45
232, Services, 2700, 1, US, 39.76 -98.5
233, Construction, 5450, 1, US, 39.76 -98.5
234, Food, 300, 1, PK, 31.549722 74.343611
235, Food, 4225, 27, SN, 14 -14
236, Agriculture, 275, 1, UG, 2 33
237, Agriculture, 275, 1, UG, 2 33
238, Agriculture, 275, 1, UG, 2 33
239, Food, 1275, 1, TJ, 40.283333 70.416667
240, Transportation, 1150, 1, KE, -0.283333 36.066667
241, Agriculture, 3175, 13, IN, 20 77
242, Agriculture, 250, 1, IN, 20 77
243, Services, 1150, 1, CO, 4 -72
244, Services, 2500, 1, PS, 31.92157 35.203285
245, Food, 3200, 7, VN, 16.166667 107.833333
246, Food, 1050, 1, TG, 8 1.166667
247, Food, 250, 1, KE, 1 38
248, Housing, 4275, 9, VN, 16.166667 107.833333
249, Housing, 4275, 9, VN, 16.166667 107.833333
250, Retail, 4800, 10, TZ, -6.8 39.283333
251, Clothing, 1050, 1, JO, 31 36
252, Clothing, 225, 1, PH, 13 122
253, Clothing, 225, 1, PH, 13 122
254, Clothing, 350, 1, PH, 13 122
255, Retail, 1025, 1, SV, 13.833333 -88.916667
256, Services, 400, 1, UG, 0.315556 32.565556
257, Agriculture, 1475, 1, RW, -2 30
258, Services, 1025, 2, TZ, -6 35
259, Clothing, 4275, 1, UA, 46.842222 35.373056
260, Food, 200, 1, SV, 13.833333 -88.916667
261, Food, 125, 1, PH, 13 122
262, Housing, 550, 1, PE, -10 -76
263, Education, 500, 1, SO, 6 48
264, Education, 1100, 1, CD, 0 25
265, Clothing, 1250, 6, ML, 17 -4
266, Retail, 5475, 13, TZ, -6.8 39.283333
267, Retail, 4525, 9, CR, 10 -84
268, Food, 4600, 36, SN, 14 -14
269, Personal Use, 1050, 1, TJ, 38.598056 68.977778
270, Clothing, 3075, 1, UA, 46.363333 32.943333
271, Clothing, 800, 1, NI, 13 -85
272, Food, 225, 1, IN, 20 77
273, Food, 250, 1, IN, 20 77
274, Education, 1300, 1, KH, 13 105
275, Food, 450, 1, WS, -13.583333 -172.3333
276, Retail, 850, 1, TG, 8 1.166667
277, Agriculture, 1200, 1, EC, -2 -77.5
278, Agriculture, 1200, 1, EC, -2 -77.5
279, Agriculture, 1200, 1, EC, -2 -77.5
280, Transportation, 3000, 1, TJ, 39 71
281, Food, 825, 1, SL, 8.5 -11.5
282, Construction, 1000, 1, TL, -8.833333 125.75
283, Agriculture, 2000, 10, VN, 16.166667 107.833333
284, Agriculture, 2000, 2, KH, 13 105
285, Food, 925, 1, SL, 8.5 -11.5
286, Clothing, 925, 1, SL, 8.5 -11.5
287, Clothing, 250, 1, KE, 1 38
288, Housing, 500, 1, SV, 13.833333 -88.916667
289, Agriculture, 1475, 1, RW, -2 30
290, Services, 1075, 1, PE, -8.379147 -74.553866
291, Housing, 1150, 1, PE, -10 -76
292, Agriculture, 2500, 1, AM, 40 45
293, Services, 1125, 4, YE, 15.5 47.5
294, Retail, 250, 1, LR, 6.5 -9.5
295, Agriculture, 5925, 8, KE, 1 38
296, Retail, 1075, 1, TG, 8 1.166667
297, Clothing, 1000, 1, TL, -8.833333 125.75
298, Agriculture, 5925, 9, KE, 0.616667 34.766667
299, Agriculture, 225, 1, PH, 13 122
300, Agriculture, 225, 1, PH, 13 122
301, Agriculture, 1200, 1, EC, -2 -77.5
302, Arts, 1600, 1, SV, 13.833333 -88.916667
303, Food, 600, 1, KE, -0.283333 36.066667
304, Housing, 600, 1, KE, 1 38
305, Housing, 1050, 1, TJ, 39 71
306, Services, 5000, 1, US, 39.76 -98.5
307, Transportation, 250, 1, PK, 31.549722 74.343611
308, Retail, 2000, 5, ZW, -19 29
309, Agriculture, 1400, 1, XK, 42.583333 21
310, Agriculture, 4825, 6, KE, 0.616667 34.766667
311, Services, 6000, 3, IQ, 33 44
312, Housing, 2000, 1, LB, 33.833333 35.833333
313, Retail, 5375, 1, US, 39.76 -98.5
314, Food, 2000, 1, PS, 31.92157 35.203285
315, Personal Use, 2450, 1, UA, 48.216667 22.65
316, Services, 825, 1, ID, -5 120
317, Retail, 2425, 10, IN, 20 77
318, Food, 250, 1, LR, 6.5 -9.5
319, Agriculture, 4200, 7, KE, 0.616667 34.766667
320, Education, 750, 1, JO, 31 36
321, Food, 925, 1, SL, 8.5 -11.5
322, Transportation, 3600, 1, GE, 42 43.5
323, Personal Use, 1575, 1, TJ, 40.283333 70.416667
324, Retail, 3800, 5, DO, 18.833333 -69.333333
325, Clothing, 1175, 1, NI, 13 -85
326, Agriculture, 275, 1, UG, 2 33
327, Transportation, 1500, 1, PS, 31.92157 35.203285
328, Construction, 2300, 1, AZ, 40.5 47.5
329, Food, 1925, 1, MX, 23 -102
330, Agriculture, 3000, 1, AM, 40 45
331, Transportation, 2350, 1, MN, 46 105
332, Retail, 950, 1, VN, 16.166667 107.833333
333, Food, 1500, 1, KH, 11.55 104.916667
334, Retail, 5075, 8, SN, 14 -14
335, Food, 3150, 1, TJ, 40.283333 70.416667
336, Agriculture, 2000, 1, TJ, 39 71
337, Retail, 1325, 1, GH, 5.283333 -1.116667
338, Housing, 1000, 1, BO, -16.483333 -68.18333
339, Retail, 1050, 1, CO, 4 -72
340, Agriculture, 1000, 1, EC, -2 -77.5
341, Services, 2000, 1, IQ, 33 44
342, Agriculture, 2725, 1, AM, 40 45
343, Agriculture, 2475, 1, KG, 41 75
344, Agriculture, 1075, 3, VN, 16.166667 107.833333
345, Agriculture, 775, 1, AZ, 39.869722 48.06
346, Agriculture, 2600, 1, AM, 40 45
347, Agriculture, 2775, 1, KG, 41 75
348, Housing, 1000, 1, SV, 13.833333 -88.916667
349, Food, 200, 1, PH, 13 122
350, Food, 600, 1, SV, 13.833333 -88.916667
351, Personal Use, 1000, 1, SV, 13.833333 -88.916667
352, Clothing, 1975, 1, GE, 42 43.5
353, Agriculture, 1475, 1, RW, -2 30
354, Retail, 2000, 5, ZW, -19 29
355, Education, 2000, 1, TJ, 38.313056 69.043056
356, Transportation, 1275, 1, AZ, 40.5 47.5
357, Services, 2975, 2, TZ, -6.8 39.283333
358, Retail, 3175, 4, TZ, -6.8 39.283333
359, Services, 1000, 1, PS, 31.92157 35.203285
360, Food, 425, 1, ML, 11.996041 -7.913563
361, Transportation, 350, 1, SV, 13.833333 -88.916667
362, Services, 2775, 5, TZ, -6.8 39.283333
363, Agriculture, 575, 1, PH, 13 122
364, Agriculture, 2450, 1, AL, 41 20
365, Food, 3650, 9, GT, 15.5 -90.25
366, Agriculture, 1500, 1, BO, -17.383333 -66.15
367, Agriculture, 5025, 7, KE, 1 38
368, Housing, 2100, 1, TJ, 38.56 68.773889
369, Housing, 1500, 1, PS, 31.92157 35.203285
370, Agriculture, 1025, 1, BO, -17 -65
371, Retail, 700, 1, KE, 1 38
372, Retail, 1575, 1, CO, 4 -72
373, Housing, 2000, 1, TJ, 40.116667 70.633333
374, Agriculture, 2050, 1, KG, 41 75
375, Housing, 1500, 1, AM, 40 45
376, Services, 1050, 1, LB, 33.833333 35.833333
377, Retail, 3800, 1, GT, 15.5 -90.25
378, Housing, 400, 1, NI, 12.150833 -86.268333
379, Food, 2950, 1, TJ, 40.28 69.631667
380, Personal Use, 1525, 1, BO, -17.383333 -66.15
381, Food, 1075, 1, PE, -10 -76
382, Food, 1850, 5, TZ, -6.8 39.283333
383, Retail, 4250, 4, DO, 19.45 -70.7
384, Agriculture, 2000, 1, AM, 40 45
385, Food, 4575, 27, SN, 14 -14
386, Food, 3700, 28, SN, 14 -14
387, Food, 1675, 4, GH, 8 -2
388, Agriculture, 2125, 4, KE, 1 38
389, Food, 6050, 12, PE, -13.518333 -71.97805
390, Education, 1175, 1, TJ, 38.56 68.773889
391, Retail, 1275, 1, TG, 8 1.166667
392, Retail, 1050, 1, TG, 8 1.166667
393, Food, 1050, 1, TG, 8 1.166667
394, Services, 475, 1, PH, 13 122
395, Education, 1475, 1, BO, -16.483333 -68.18333
396, Education, 2400, 1, BO, -17.8 -63.166667
397, Housing, 800, 1, KH, 13 105
398, Education, 3750, 1, BF, 13 -2
399, Food, 200, 1, LR, 6.5 -9.5
400, Clothing, 2100, 10, ML, 17 -4
401, Agriculture, 1000, 3, VN, 16.166667 107.833333
402, Education, 500, 1, SO, 6 48
403, Agriculture, 2325, 1, TJ, 39.910833 69.006389
404, Services, 475, 1, PK, 31.549722 74.343611
405, Services, 1825, 1, CO, 4 -72
406, Services, 6000, 3, IQ, 33 44
407, Transportation, 4350, 1, MN, 47.916667 106.916667
408, Retail, 2325, 1, TJ, 38.524722 68.551389
409, Agriculture, 1050, 1, KE, 0.516667 36.866667
410, Agriculture, 350, 1, KE, 1 38
411, Agriculture, 1200, 1, UG, 2 33
412, Agriculture, 2225, 3, KE, 1 38
413, Agriculture, 4250, 7, KE, 1 38
414, Agriculture, 4775, 6, KE, 1 38
415, Food, 350, 1, PH, 13 122
416, Housing, 4750, 10, VN, 16.166667 107.833333
417, Housing, 4275, 9, VN, 16.166667 107.833333
418, Retail, 5050, 5, CR, 10 -84
419, Food, 525, 1, ML, 11.996041 -7.913563
420, Clothing, 700, 1, SL, 8.883333 -12.05
421, Agriculture, 1875, 1, KG, 41 75
422, Retail, 1200, 1, UG, 1 32.866667
423, Services, 825, 1, KE, 0.05 35.716667
424, Wholesale, 3000, 1, IQ, 33 44
425, Services, 8225, 1, US, 39.76 -98.5
426, Retail, 500, 1, SV, 13.833333 -88.916667
427, Housing, 1275, 1, TJ, 40.116667 70.633333
428, Clothing, 1575, 1, CO, 4 -72
429, Services, 400, 1, PK, 31.549722 74.343611
430, Retail, 6950, 9, CR, 10 -84
431, Retail, 1150, 1, BO, -16.483333 -68.18333
432, Retail, 300, 1, KE, -3.216667 40.116667
433, Personal Use, 1975, 1, AM, 40 45
434, Food, 175, 1, KE, 1 38
435, Transportation, 5000, 1, GE, 42 43.5
436, Services, 2475, 1, AM, 40 45
437, Construction, 825, 1, SL, 8.5 -11.5
438, Construction, 1000, 1, UG, 1.064444 34.179444
439, Construction, 475, 1, KE, 1 38
440, Construction, 3000, 1, PS, 31.92157 35.203285
441, Services, 475, 1, PH, 13 122
442, Agriculture, 2050, 1, KG, 41 75
443, Retail, 1200, 1, SV, 13.833333 -88.916667
444, Food, 375, 1, LR, 6.5 -9.5
445, Clothing, 250, 1, NI, 12.435556 -86.879444
446, Food, 3425, 31, SN, 14 -14
447, Agriculture, 2000, 1, TJ, 38.524722 68.551389
448, Retail, 600, 1, KE, 1 38
449, Retail, 275, 1, PH, 13 122
450, Retail, 125, 1, PH, 13 122
451, Food, 125, 1, PH, 13 122
452, Retail, 125, 1, PH, 13 122
453, Retail, 300, 1, PH, 13 122
454, Retail, 425, 1, PH, 13 122
455, Retail, 575, 1, PH, 13 122
456, Retail, 225, 1, PH, 13 122
457, Food, 675, 1, PH, 13 122
458, Retail, 425, 1, PH, 13 122
459, Retail, 600, 1, PH, 13 122
460, Retail, 550, 1, PH, 13 122
461, Food, 125, 1, PH, 13 122
462, Food, 200, 1, PK, 31.549722 74.343611
463, Construction, 725, 1, PE, -10 -76
464, Transportation, 150, 1, PH, 13 122
465, Personal Use, 1500, 1, KH, 13 105
466, Food, 1500, 1, KH, 13 105
467, Food, 2000, 1, LB, 33.563056 35.368889
468, Retail, 1175, 1, BO, -16.5 -68.15
469, Food, 1000, 1, TJ, 38.56 68.773889
470, Agriculture, 1025, 1, SV, 13.833333 -88.916667
471, Housing, 1000, 1, SV, 13.833333 -88.916667
472, Food, 250, 1, LR, 6.5 -9.5
473, Agriculture, 1475, 1, RW, -2 30
474, Clothing, 3000, 1, AM, 40 45
475, Food, 1000, 1, SV, 13.833333 -88.916667
476, Agriculture, 1975, 1, AL, 41 20
477, Retail, 4000, 1, US, 39.76 -98.5
478, Food, 950, 1, YE, 15.5 47.5
479, Clothing, 3975, 9, NI, 12.435556 -86.879444
480, Retail, 1775, 1, JO, 31 36
481, Retail, 1250, 1, LR, 6.5 -9.5
482, Food, 200, 1, IN, 20 77
483, Food, 1175, 5, SL, 8.5 -11.5
484, Agriculture, 1575, 1, TJ, 40.116667 70.633333
485, Retail, 350, 1, NI, 12.150833 -86.268333
486, Food, 1000, 1, NI, 13 -85
487, Education, 1025, 1, BO, -21.535486 -64.72955
488, Services, 1575, 1, LB, 33.833333 35.833333
489, Food, 1050, 1, SV, 13.833333 -88.916667
490, Housing, 500, 1, SV, 13.833333 -88.916667
491, Food, 1025, 1, SV, 13.833333 -88.916667
492, Food, 650, 1, SV, 13.833333 -88.916667
493, Agriculture, 75, 1, KE, 1 38
494, Personal Use, 1000, 1, KH, 11.55 104.916667
495, Agriculture, 800, 4, TL, -8.833333 125.75
496, Agriculture, 2050, 1, KG, 41 75
497, Agriculture, 1200, 1, EC, -2 -77.5
498, Agriculture, 1200, 1, EC, -2 -77.5
499, Retail, 4750, 11, GT, 15.5 -90.25
500, Clothing, 1275, 2, GT, 15.5 -90.25
501, Clothing, 975, 2, GT, 14.635278 -90.676389
502, Agriculture, 1000, 1, EC, -2 -77.5
503, Services, 10000, 1, US, 39.76 -98.5
504, Agriculture, 1500, 1, AM, 40 45
505, Retail, 2400, 1, IQ, 33 44
506, Agriculture, 4900, 1, UA, 47.485278 34.405833
507, Clothing, 2300, 1, JO, 31 36
508, Food, 550, 1, HN, 15 -86.5
509, Agriculture, 2000, 1, AM, 40 45
510, Arts, 150, 1, PH, 13 122
511, Food, 5000, 1, GE, 42 43.5
512, Retail, 350, 1, PH, 13 122
513, Housing, 600, 1, SV, 13.833333 -88.916667
514, Agriculture, 4150, 9, PE, -10 -76
515, Clothing, 375, 4, YE, 15.5 47.5
516, Food, 625, 1, ML, 11.996041 -7.913563
517, Retail, 900, 1, SV, 13.833333 -88.916667
518, Food, 600, 1, SV, 13.833333 -88.916667
519, Food, 650, 1, HN, 15 -86.5
520, Food, 750, 1, HN, 13.416667 -87.45
521, Education, 500, 1, SO, 6 48
522, Food, 1050, 1, ML, 11.996041 -7.913563
523, Personal Use, 300, 1, YE, 15.5 47.5
524, Retail, 850, 1, TG, 8 1.166667
525, Retail, 1075, 1, TG, 8 1.166667
526, Construction, 5525, 10, BO, -17.383333 -66.15
527, Retail, 4475, 10, BO, -16.5 -68.15
528, Retail, 3625, 8, BO, -17.8 -63.166667
529, Food, 2075, 30, BF, 13 -2
530, Agriculture, 2475, 12, VN, 16.166667 107.833333
531, Food, 3525, 8, BO, -16.483333 -68.18333
532, Food, 5625, 8, BO, -16.483333 -68.18333
533, Agriculture, 4225, 9, VN, 16.166667 107.833333
534, Retail, 475, 1, PK, 31.549722 74.343611
535, Food, 125, 1, KE, 1 38
536, Food, 1500, 1, PS, 31.92157 35.203285
537, Services, 1500, 1, PS, 31.92157 35.203285
538, Retail, 1200, 1, JO, 31 36
539, Retail, 250, 1, ID, -5 120
540, Retail, 300, 1, PH, 13 122
541, Agriculture, 3600, 5, KE, 1 38
542, Food, 4625, 5, TZ, -6.8 39.283333
543, Agriculture, 550, 1, PE, -8.379147 -74.553866
544, Transportation, 1050, 1, KE, 0.516667 36.866667
545, Food, 625, 1, NI, 12.435556 -86.879444
546, Food, 1450, 1, GE, 42 43.5
547, Transportation, 575, 1, PK, 31.549722 74.343611
548, Transportation, 2200, 1, TJ, 39 71
549, Services, 400, 1, PK, 31.549722 74.343611
550, Services, 1250, 1, ID, -5 120
551, Services, 1475, 1, TG, 8 1.166667
552, Agriculture, 4025, 5, CR, 10 -84
553, Services, 700, 1, PS, 31.92157 35.203285
554, Retail, 3925, 8, BO, -17.8 -63.166667
555, Food, 3450, 7, PE, -10 -76
556, Retail, 5275, 10, PE, -13.518333 -71.97805
557, Retail, 3250, 4, TZ, -6.8 39.283333
558, Education, 125, 1, KE, 1 38
559, Housing, 2475, 1, XK, 42.583333 21
560, Clothing, 1175, 1, KE, 1 38
561, Agriculture, 2525, 1, TJ, 39 71
562, Food, 1025, 1, BO, -16.05 -68.683333
563, Education, 1050, 1, CD, 0 25
564, Retail, 175, 1, PH, 13 122
565, Food, 3150, 11, NI, 12.435556 -86.879444
566, Services, 125, 1, PH, 13 122
567, Retail, 1200, 1, UG, 2 33
568, Retail, 1200, 1, UG, 0.284444 32.591667
569, Retail, 1200, 1, UG, 2 33
570, Retail, 1200, 1, UG, 2 33
571, Food, 1200, 1, UG, 2 33
572, Agriculture, 1550, 1, KG, 41 75
573, Transportation, 300, 1, PK, 31.549722 74.343611
574, Services, 300, 1, PE, -8.379147 -74.553866
575, Food, 725, 1, VN, 16.166667 107.833333
576, Retail, 1900, 6, NI, 12.435556 -86.879444
577, Retail, 925, 5, SL, 8.5 -11.5
578, Agriculture, 575, 6, KE, 1 38
579, Agriculture, 200, 1, PH, 13 122
580, Agriculture, 125, 1, KE, 1 38
581, Retail, 300, 1, PH, 13 122
582, Retail, 3475, 8, BO, -16.483333 -68.18333
583, Food, 3700, 9, BO, -16.5 -68.15
584, Retail, 225, 1, PH, 13 122
585, Food, 1900, 1, TJ, 39 71
